,comment
1,بوی تند ولی خوشبو داره ماندگاریش خوبه و هر چقدر میگذره خوشبوتر میشه
2,متاسفانه عمر مفید این ماشین کم هست و بعد از دو سال دیگه با باطری کار نمیکنه و گیر میکنه به نحوی که هیچیک از دکمه‌ها کار نمیکنه تا چند ساعت در این حالت میمونه دوباره با اتصال به برق کار میکنه
3,افا از وقتی من اینو واسه پسرم خریدم همه بچه‌های فامیل عاشقش شدن واسه سوار شدنش یک دعوایی میکنن که واویلا جالب اینجاست همشونم دوچرخه وسه چرخه دارن اما نمیدونم این چی ئاره که دخترو پسر سر این باهم دعوا میکنن شاید باورتون نشه بچه باجناقم به خاطر این تب کرده میگه من فقط اینو میخوام پرسنل زحمتکش دیجی کالا لطفا اینو موجود کنید بچه داره ازدست میره خیلی ممنون
4,این تیغ محصول کشور آمریکا هست در عکس محصول مشخص هست و توسط شرکت پلیکان در ایران توزیع میشه در سایت شرکت پلیکان ایران ذکر‌شده‌کیفیت کلی اصلاح مناسب هست و انتظارات شما از محصولی از کشور سازنده را برآورده میکنه ایرادی که من باهاش برخوردم نقطه اتصال خیلی ضعیف تیغ به دسته هست که با کمترین فشاری ممکنه بشکنه و غیرقابل استفاده باشه البته نقطه اتصال ضعیف مربوط به قسمت تعویض شونده هست و دسته مشکلی ندارد
5,سرعت گرم و علی‌الخصوص سرد کردن خیلی پایین هست شیک و باکلاسه
6,امیوارم کیفیتش همینطور بمونه من مدت هاس ازین برند استفاده میکنم و راضی ام
7,الان حدود یک سالی هست که دارمش و خیلی راضی‌ام ازش
8,حدود یک ساله دارمش راضی‌ام ازش نسبت به قیمتش مناسبه
9,سلام و خسته نباشید به تمامی کارکنان و بازدید‌کنندگان سایت معتبر دیجی کالا عزیزانی که برای خرید این هدفون شک دارند باید بگویم که بنده سالهای سال هست که از برند کریتیو استفاده میکنم و تقریبا با تمامی هدفون‌ها و هدست‌های این شرکت کار کردم بنابراین با قاطعیت تمام میگویم که بی‌کیفیت ترین هدفون و وسیله ی گوش دادان به موسیقی این شرکت هست و پیشنهاد میکنم برای خرید هدفون مبلغی بیشتر پراخت کنید و مودلی دیگر از این برند تهیه کنید با تشکر
10,بهترین روغن موتور برای موتورهای پژو همین روغنه به توتال ایرانی و کاسترول مگناتک هم ریختم ولی هیچ کدوم به کیفیت این روغن توتال اماراتی نبودن کیلومتری هست که با این روغنم و اصلا عوضش نمی‌کنم با تشکر از دیجی کالا
11,اگر با قیمتش مشکلی ندارید نسبت به صداش شک نکنید عالیه این تجربه سال استفاده بنده است بلوتوثش خیلی سریع وصل میشه صداش واضح و با بیس قوی هست و میتونید میزان صدای خواننده یا بیس را کنترل کنید
13,حدود دوسال و نیم هست که عددش رو خریدیم یکیش خراب‌بود که رفت گارانتی و یک سالم دادن بهمون طی این سال میانگین هفته‌ای بار شارژش کردم ولی با این حال هنوز هم خوب شارژ میده ولی مشکلی که هست مقداری باد کرده که طبیعیه به نظرم بعد از این همه مدت و استفاده یه نکته درباره این پاوربانک این که شارژ امپرش فیت شار ه و خیلی سریع تر از امپر شارژ میکنه
